No Sorting, 10-100M numbers:,,,,,,,,,,
 Arr. Len., Time (ms),1,2,3,4,5,6,7,8,9,10
10000000,518,998403,1000951,999556,999984,999543,1000365,1000301,999439,1000716,1000742
20000000,1044,1998142,2000798,2001397,1999692,1999740,1997662,2000154,2001158,1998760,2002497
30000000,1605,2999658,3002427,3000764,2998848,2999942,3000641,3001315,3000733,2999073,2996599
40000000,2137,3998574,4000135,3998749,3999272,4001171,3998396,3999209,4000458,4004020,4000016
50000000,2682,4999743,4998588,4997689,5000115,5000638,5002690,4999737,4999079,5000258,5001463
60000000,3305,5996857,6004174,5997498,5999809,6000660,5996642,5999949,6000154,6001151,6003106
70000000,3865,7001720,6998083,6997144,7001512,6997746,7002847,6999580,6997398,7000544,7003426
80000000,4455,8000760,8001719,8002297,8003294,7996402,7999035,7998410,7995500,8001283,8001300
90000000,5424,9000495,8998773,9000890,8998199,8994214,8999121,9000848,9002903,9002822,9001735
100000000,5198,9996736,10007568,9996839,10007204,9998101,10004525,10000693,9994374,9995228,9998732
Insertion Sorting, 10k-100k numbers:,,,,,,,,,,
 Arr. Len., Time (ms),1,2,3,4,5,6,7,8,9,10
10000,236,985,985,986,1018,991,1036,1003,969,1001,1026
20000,942,1990,2011,1998,1951,2005,1968,2009,2040,2074,1954
30000,2146,3018,3026,3029,3019,3025,2902,2948,2978,3065,2990
40000,3819,4005,3994,3983,4044,3974,4013,3967,3992,4016,4012
50000,6099,4989,4952,5032,5059,4982,5061,4985,5015,4993,4932
60000,8910,6052,5980,6047,6083,6003,6044,5891,5931,6085,5884
70000,11910,6979,6996,7073,6970,7182,7019,6950,6995,6876,6960
80000,15721,7841,7977,8076,8032,7968,8108,7998,8032,7939,8029
90000,19523,8950,9112,8967,8975,9049,9002,8906,9039,8975,9025
100000,23868,9892,9855,10087,10038,10034,10059,10002,10080,9864,10089
Quick Sorting, 10k-100k numbers:,,,,,,,,,,
 Arr. Len., Time (ms),1,2,3,4,5,6,7,8,9,10
10000,34,997,973,997,997,969,1011,955,1018,1007,1076
20000,132,1994,1991,2050,2007,1958,2063,2014,1933,2016,1974
30000,304,3048,3062,2942,2979,3019,2947,3054,3046,2974,2929
40000,528,3949,3936,4146,3898,3856,4038,4037,4000,4093,4047
50000,824,4883,4946,4945,4914,4947,5001,5000,5081,5145,5138
60000,1192,5945,5976,6055,5953,5921,6191,5929,5942,5977,6111
70000,1616,6968,6942,7146,7013,6953,6983,6892,6888,6993,7222
80000,2110,7955,7894,8076,7920,8023,8149,8008,8051,7909,8015
90000,2666,9105,9047,8978,8918,9024,8945,8970,9005,8964,9044
100000,3285,10041,10081,9970,9848,9943,10103,10096,10017,9937,9964